iso,pais,camara,diario,inicio,fin,anos_con_sesion,huecos,sesiones,filas,turnos_de_habla,doi,version
PT,Portugal,Assembleia da República,"Diário da Assembleia da República, I Série",1976,2025,50,,4939,1559320,1554381,10.7910/DVN/VRPUFU,2.0
ES,España,Congreso de los Diputados,"Diario de Sesiones (Pleno, Diputación Permanente, sesiones de 1977-79)",1977,2025,49,,3559,562514,558940,10.7910/DVN/OKHGAB,2.0
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,Actas,1979,2025,47,,6105,1292596,1280822,10.7910/DVN/M2QJN6,2.0
AR,Argentina,Cámara de Diputados de la Nación,Diario de Sesiones,1983,2025,33,1991-2000,1086,258808,256636,10.7910/DVN/IVNYID,2.0
UY,Uruguay,Cámara de Representantes,Diario de Sesiones,1985,2025,41,,2813,424097,421284,10.7910/DVN/KI1AOC,2.0
MX,México,Cámara de Diputados,Diario de los Debates,1988,2025,38,,2537,633474,630937,10.7910/DVN/0IS1YE,2.0
PY,Paraguay,Cámara de Diputados,Diario de Sesiones,1988,2025,32,2001-2002; 2006-2007; 2011-2012,1275,362945,360201,10.7910/DVN/PDX8GA,2.0
CL,Chile,Cámara de Diputadas y Diputados,Boletín de sesión,1990,2025,36,,4336,596729,556679,10.7910/DVN/IKBNRL,2.0
CR,Costa Rica,Asamblea Legislativa,Actas de la Sesión Plenaria,1994,2025,32,,5343,381976,375730,10.7910/DVN/W6UAHQ,2.0
PE,Perú,Congreso de la República,Diario de los Debates,1995,2025,31,,3061,852560,849499,10.7910/DVN/7MK94V,1.0
PA,Panamá,Asamblea Nacional (Legislativa hasta 2004),Actas del Pleno,1996,2025,30,,3638,511962,508324,10.7910/DVN/Y8FUSX,2.0
CO,Colombia,Cámara de Representantes,Gaceta del Congreso (actas de plenaria),2000,2025,26,,1608,464805,463201,10.7910/DVN/TYYERX,2.0
GT,Guatemala,Congreso de la República,Diario de Sesiones,2000,2026,27,,2039,253759,251720,10.7910/DVN/NH5TTC,2.0
DO,República Dominicana,Cámara de Diputados,Actas de sesión del Pleno,2001,2025,25,,2225,229325,101381,10.7910/DVN/DZKXUG,2.0
BR,Brasil,Câmara dos Deputados,Notas taquigráficas (Íntegra das sessões),2003,2025,23,,7731,1657113,1649698,10.7910/DVN/VTXNW3,2.0
SV,El Salvador,Asamblea Legislativa,Versión taquigráfica,2018,2025,8,,423,49077,48654,10.7910/DVN/MUJU6A,2.0
