iso,ano,sesiones,turnos_de_habla
AR,1983,7,1318
AR,1984,58,15883
AR,1985,48,25293
AR,1986,77,15922
AR,1987,55,7613
AR,1988,75,10018
AR,1989,55,10135
AR,1990,18,1774
AR,1991,0,0
AR,1992,0,0
AR,1993,0,0
AR,1994,0,0
AR,1995,0,0
AR,1996,0,0
AR,1997,0,0
AR,1998,0,0
AR,1999,0,0
AR,2000,0,0
AR,2001,45,7714
AR,2002,43,9504
AR,2003,33,4593
AR,2004,37,7629
AR,2005,45,5016
AR,2006,60,10223
AR,2007,38,6193
AR,2008,44,7244
AR,2009,21,6025
AR,2010,29,5370
AR,2011,16,3704
AR,2012,23,5730
AR,2013,15,4718
AR,2014,26,7174
AR,2015,15,3418
AR,2016,25,9358
AR,2017,27,7956
AR,2018,19,5411
AR,2019,15,3547
AR,2020,22,10314
AR,2021,14,5517
AR,2022,17,5856
AR,2023,16,4212
AR,2024,26,11195
AR,2025,22,11059
BR,2003,369,80163
BR,2004,349,64285
BR,2005,364,77666
BR,2006,299,60607
BR,2007,381,90819
BR,2008,369,71199
BR,2009,395,83578
BR,2010,297,49961
BR,2011,406,68630
BR,2012,379,57884
BR,2013,461,104427
BR,2014,349,64869
BR,2015,485,115753
BR,2016,407,91799
BR,2017,512,110622
BR,2018,338,61540
BR,2019,486,74492
BR,2020,206,63292
BR,2021,284,79600
BR,2022,148,44125
BR,2023,151,51248
BR,2024,125,35765
BR,2025,171,47374
CL,1990,81,18696
CL,1991,100,25289
CL,1992,109,21118
CL,1993,107,18518
CL,1994,107,18985
CL,1995,116,17283
CL,1996,108,14251
CL,1997,99,12089
CL,1998,103,12194
CL,1999,100,11674
CL,2000,95,11557
CL,2001,82,9779
CL,2002,114,13494
CL,2003,121,12681
CL,2004,128,12375
CL,2005,108,10142
CL,2006,122,13447
CL,2007,138,15095
CL,2008,134,14449
CL,2009,129,12522
CL,2010,133,14142
CL,2011,141,16146
CL,2012,133,15569
CL,2013,126,12648
CL,2014,126,15008
CL,2015,128,17288
CL,2016,134,15714
CL,2017,125,10503
CL,2018,138,11101
CL,2019,150,14768
CL,2020,145,19154
CL,2021,133,15443
CL,2022,125,19663
CL,2023,145,23310
CL,2024,133,20721
CL,2025,120,19863
CO,2000,43,7453
CO,2001,10,1789
CO,2002,18,4914
CO,2003,25,6712
CO,2004,42,9722
CO,2005,50,11392
CO,2006,49,10296
CO,2007,56,12983
CO,2008,68,15334
CO,2009,66,13467
CO,2010,61,13109
CO,2011,66,15922
CO,2012,79,17449
CO,2013,70,12486
CO,2014,67,11491
CO,2015,70,13764
CO,2016,81,15997
CO,2017,78,16198
CO,2018,67,20693
CO,2019,77,29126
CO,2020,79,58757
CO,2021,85,40829
CO,2022,59,17246
CO,2023,69,21120
CO,2024,91,36344
CO,2025,82,28608
CR,1994,117,5629
CR,1995,107,6257
CR,1996,98,5438
CR,1997,92,4891
CR,1998,116,8340
CR,1999,90,7254
CR,2000,53,5031
CR,2001,140,10115
CR,2002,173,14049
CR,2003,204,14600
CR,2004,178,14838
CR,2005,197,17489
CR,2006,169,14640
CR,2007,190,15361
CR,2008,243,19241
CR,2009,241,17037
CR,2010,179,15445
CR,2011,174,14002
CR,2012,204,18270
CR,2013,170,15977
CR,2014,184,15132
CR,2015,183,16479
CR,2016,201,12817
CR,2017,189,9920
CR,2018,193,9952
CR,2019,196,8897
CR,2020,158,9613
CR,2021,180,8880
CR,2022,187,8466
CR,2023,183,10995
CR,2024,148,8740
CR,2025,205,11892
DO,2001,114,4047
DO,2002,84,3785
DO,2003,117,6347
DO,2004,119,5202
DO,2005,99,5207
DO,2006,120,8232
DO,2007,114,6516
DO,2008,77,4341
DO,2009,45,2489
DO,2010,80,4471
DO,2011,85,4486
DO,2012,78,3636
DO,2013,97,4609
DO,2014,78,2866
DO,2015,66,2182
DO,2016,57,1928
DO,2017,79,3333
DO,2018,92,3954
DO,2019,80,2165
DO,2020,66,2451
DO,2021,98,3904
DO,2022,88,3788
DO,2023,110,3573
DO,2024,81,3440
DO,2025,101,4429
EC,1979,78,22184
EC,1980,139,25297
EC,1981,121,28969
EC,1982,131,37074
EC,1983,149,40101
EC,1984,105,28871
EC,1985,180,50714
EC,1986,157,37288
EC,1987,129,32448
EC,1988,118,34722
EC,1989,140,33073
EC,1990,157,42330
EC,1991,148,38862
EC,1992,132,42880
EC,1993,137,41380
EC,1994,143,48852
EC,1995,152,40739
EC,1996,125,40175
EC,1997,154,42164
EC,1998,210,71706
EC,1999,128,36436
EC,2000,120,25477
EC,2001,141,35919
EC,2002,149,45098
EC,2003,153,27785
EC,2004,179,33301
EC,2005,197,45101
EC,2006,212,32490
EC,2007,148,44802
EC,2008,93,19840
EC,2009,28,4400
EC,2010,90,10010
EC,2011,96,8970
EC,2012,108,9144
EC,2013,90,6126
EC,2014,62,4674
EC,2015,80,5735
EC,2016,90,5525
EC,2017,108,6570
EC,2018,115,8829
EC,2019,152,11403
EC,2020,103,8520
EC,2021,103,9193
EC,2022,162,16374
EC,2023,95,8418
EC,2024,175,14989
EC,2025,100,9699
EC,2026,2,148
ES,1977,44,6103
ES,1978,150,21272
ES,1979,62,10262
ES,1980,82,11748
ES,1981,68,8298
ES,1982,55,7678
ES,1983,82,14651
ES,1984,91,14483
ES,1985,86,11721
ES,1986,46,5975
ES,1987,53,9985
ES,1988,83,13357
ES,1989,52,6476
ES,1990,72,10881
ES,1991,78,11686
ES,1992,83,12786
ES,1993,65,9380
ES,1994,78,14138
ES,1995,76,11939
ES,1996,55,7737
ES,1997,77,13355
ES,1998,76,14416
ES,1999,77,13996
ES,2000,56,7497
ES,2001,79,12734
ES,2002,86,13303
ES,2003,90,16561
ES,2004,64,8686
ES,2005,79,12295
ES,2006,85,12643
ES,2007,84,11519
ES,2008,61,7453
ES,2009,78,11687
ES,2010,82,11640
ES,2011,66,9264
ES,2012,81,13245
ES,2013,84,14900
ES,2014,83,13454
ES,2015,63,10796
ES,2016,40,4319
ES,2017,74,11406
ES,2018,75,12651
ES,2019,27,4339
ES,2020,71,11918
ES,2021,79,14106
ES,2022,86,18107
ES,2023,51,7616
ES,2024,76,11953
ES,2025,68,12525
GT,2000,57,8121
GT,2001,90,13436
GT,2002,97,16112
GT,2003,67,9501
GT,2004,81,16917
GT,2005,113,22943
GT,2006,98,15248
GT,2007,71,7369
GT,2008,85,12378
GT,2009,96,19984
GT,2010,85,11972
GT,2011,79,8004
GT,2012,62,5892
GT,2013,68,5940
GT,2014,66,5605
GT,2015,58,5055
GT,2016,81,9445
GT,2017,82,6063
GT,2018,89,5895
GT,2019,98,5099
GT,2020,71,9056
GT,2021,89,7385
GT,2022,88,7168
GT,2023,40,4008
GT,2024,67,8856
GT,2025,59,4172
GT,2026,2,96
MX,1988,40,11078
MX,1989,78,9890
MX,1990,32,5079
MX,1991,3,4584
MX,1992,3,468
MX,1993,11,1606
MX,1994,33,3555
MX,1995,91,10344
MX,1996,82,8100
MX,1997,72,9815
MX,1998,69,8491
MX,1999,65,8650
MX,2000,60,10722
MX,2001,72,11696
MX,2002,69,15337
MX,2003,71,12177
MX,2004,63,14458
MX,2005,73,13858
MX,2006,74,16577
MX,2007,71,18425
MX,2008,67,17579
MX,2009,71,20230
MX,2010,79,27099
MX,2011,76,28132
MX,2012,79,21242
MX,2013,83,22110
MX,2014,90,21636
MX,2015,72,19251
MX,2016,79,19842
MX,2017,72,17977
MX,2018,77,23632
MX,2019,86,30915
MX,2020,64,22367
MX,2021,76,34504
MX,2022,78,35191
MX,2023,82,30397
MX,2024,74,23340
MX,2025,100,20583
PA,1996,135,42403
PA,1997,114,24291
PA,1998,140,18753
PA,1999,132,22817
PA,2000,100,14148
PA,2001,111,15669
PA,2002,120,16232
PA,2003,103,22275
PA,2004,127,24536
PA,2005,122,16777
PA,2006,106,14019
PA,2007,115,14953
PA,2008,126,13883
PA,2009,119,13517
PA,2010,141,19072
PA,2011,123,14149
PA,2012,129,16759
PA,2013,143,18531
PA,2014,124,10514
PA,2015,116,15552
PA,2016,118,13889
PA,2017,114,16920
PA,2018,126,15348
PA,2019,133,15865
PA,2020,112,14931
PA,2021,116,12472
PA,2022,125,11366
PA,2023,137,11400
PA,2024,96,10024
PA,2025,115,17259
PE,1995,53,11379
PE,1996,83,15802
PE,1997,154,25350
PE,1998,115,16485
PE,1999,116,18241
PE,2000,126,19021
PE,2001,131,31079
PE,2002,157,32629
PE,2003,223,38905
PE,2004,156,31079
PE,2005,97,25298
PE,2006,73,25596
PE,2007,99,19525
PE,2008,92,16711
PE,2009,99,22968
PE,2010,102,20181
PE,2011,87,18564
PE,2012,76,25118
PE,2013,74,32510
PE,2014,70,26062
PE,2015,71,22633
PE,2016,59,15408
PE,2017,70,21178
PE,2018,73,22112
PE,2019,59,19962
PE,2020,82,87932
PE,2021,89,49935
PE,2022,95,32169
PE,2023,106,38648
PE,2024,91,38963
PE,2025,83,28056
PT,1976,62,15281
PT,1977,103,29644
PT,1978,98,28721
PT,1979,79,28455
PT,1980,85,37893
PT,1981,118,41758
PT,1982,133,47284
PT,1983,82,25463
PT,1984,132,50075
PT,1985,98,28996
PT,1986,118,32269
PT,1987,92,21268
PT,1988,111,38069
PT,1989,113,34738
PT,1990,109,27193
PT,1991,93,21810
PT,1992,103,26823
PT,1993,100,24447
PT,1994,101,26314
PT,1995,92,22704
PT,1996,111,37146
PT,1997,113,37575
PT,1998,96,31041
PT,1999,93,27517
PT,2000,35,12080
PT,2001,104,30621
PT,2002,73,29386
PT,2003,110,46363
PT,2004,95,34768
PT,2005,74,24127
PT,2006,110,35893
PT,2007,109,38931
PT,2008,110,38808
PT,2009,96,27896
PT,2010,100,31452
PT,2011,95,28845
PT,2012,118,38678
PT,2013,115,33063
PT,2014,111,28579
PT,2015,98,23797
PT,2016,103,25587
PT,2017,107,27103
PT,2018,111,28377
PT,2019,97,27133
PT,2020,91,25604
PT,2021,90,19236
PT,2022,78,25416
PT,2023,118,52053
PT,2024,80,38976
PT,2025,76,39125
PY,1988,1,63
PY,1989,27,5542
PY,1990,66,19560
PY,1991,65,19241
PY,1992,70,12848
PY,1993,84,16686
PY,1994,90,26764
PY,1995,91,30675
PY,1996,76,21406
PY,1997,65,18365
PY,1998,51,13667
PY,1999,62,15498
PY,2000,40,8847
PY,2001,0,0
PY,2002,0,0
PY,2003,32,8898
PY,2004,55,14631
PY,2005,9,2747
PY,2006,0,0
PY,2007,0,0
PY,2008,39,12147
PY,2009,44,16428
PY,2010,4,1246
PY,2011,0,0
PY,2012,0,0
PY,2013,15,5093
PY,2014,14,5682
PY,2015,14,4133
PY,2016,8,3296
PY,2017,11,3174
PY,2018,47,11871
PY,2019,15,4505
PY,2020,28,9682
PY,2021,20,5417
PY,2022,24,6246
PY,2023,30,11467
PY,2024,30,11603
PY,2025,48,12773
SV,2018,26,5318
SV,2019,53,7827
SV,2020,72,11671
SV,2021,50,6637
SV,2022,59,6595
SV,2023,51,5028
SV,2024,57,3219
SV,2025,55,2359
UY,1985,71,15251
UY,1986,63,13585
UY,1987,63,12626
UY,1988,57,9042
UY,1989,47,7083
UY,1990,76,18687
UY,1991,84,16824
UY,1992,74,12940
UY,1993,79,11648
UY,1994,67,6534
UY,1995,72,12770
UY,1996,72,9688
UY,1997,97,11621
UY,1998,82,9222
UY,1999,63,7573
UY,2000,60,13170
UY,2001,90,10629
UY,2002,88,14188
UY,2003,87,11658
UY,2004,55,5861
UY,2005,85,15499
UY,2006,77,11492
UY,2007,76,11332
UY,2008,89,12883
UY,2009,62,5952
UY,2010,69,10249
UY,2011,66,10425
UY,2012,79,10726
UY,2013,68,7667
UY,2014,41,3351
UY,2015,59,9423
UY,2016,72,7953
UY,2017,62,8334
UY,2018,70,9281
UY,2019,43,4434
UY,2020,66,10260
UY,2021,60,8075
UY,2022,57,8315
UY,2023,66,11343
UY,2024,38,3967
UY,2025,61,9723
