cifra,valor,tipo,clave,fuente,fecha
corpus.n,16,int,CALC,parlaibero.data.json → paises[],2026-09-07
universo.n,21,int,M,monografía §2.2,2026-09-07
ausentes.n,5,int,M,monografía §2.2,2026-09-07
rejilla.desde,1976,year,C,parlaibero.data.json → meta.ano_rejilla,2026-09-07
rejilla.hasta,2025,year,C,parlaibero.data.json → meta.ano_rejilla,2026-09-07
rejilla.llenas,527,int,CALC,parlaibero.data.json → anual[].ses > 0 dentro de la rejilla,2026-09-07
rejilla.total,800,int,CALC,cámaras × años de la rejilla,2026-09-07
filas.P,10091060,int,P,cobertura_temporal.md,2026-09-07
sesiones.P,52718,int,P,cobertura_temporal.md,2026-09-07
primera.P,1976-06-03,date,P,cobertura_temporal.md,2026-09-07
ultima.P,2026-01-14,date,P,cobertura_temporal.md,2026-09-07
habla.L,9868087,int,L,Σ corpus_info.linkage.speech_rows,2026-09-07
vinculados.L,8590210,int,L,Σ corpus_info.linkage.linked,2026-09-07
vinc.bruta,0.8705040804767935,pct,CALC,vinculados / turnos de habla,2026-09-07
vinc.efectiva,0.981234211682113,pct,CALC,vinculados / (habla − sin escaño − voz colectiva),2026-09-07
novinc.n,1277877,int,CALC,turnos de habla − vinculados,2026-09-07
novinc.noescano.n,962878,int,L,Σ corpus_info.linkage,2026-09-07
novinc.noescano.pct,0.7534981848800785,pct,CALC,sobre los turnos de habla sin diputado,2026-09-07
novinc.colectiva.n,150714,int,L,Σ corpus_info.linkage,2026-09-07
novinc.colectiva.pct,0.11794092858702364,pct,CALC,sobre los turnos de habla sin diputado,2026-09-07
novinc.laguna.n,164285,int,L,Σ corpus_info.linkage,2026-09-07
novinc.laguna.pct,0.12856088653289793,pct,CALC,sobre los turnos de habla sin diputado,2026-09-07
prolegomena.C,51741,int,C,perfil_parlaibero.json → agregados.totales,2026-09-07
nohabla.C,222975,int,C,perfil_parlaibero.json → agregados.totales,2026-09-07
palabras_habla.C,1633738332,int,C,perfil_parlaibero.json → agregados.totales,2026-09-07
padron.personas,37523,int,C,perfil_parlaibero.json → agregados.totales,2026-09-07
padron.tramos,70570,int,C,perfil_parlaibero.json → agregados.totales,2026-09-07
padron.br.filas,5523,int,C,source/br/standardize/BR_deputies.csv,2026-09-07
padron.br.pares,3772,int,C,source/br/standardize/BR_deputies.csv,2026-09-07
columnas.n,16,int,C,parlaibero.data.json → columnas[],2026-09-07
decada.n_corpus.1970s,3,int,C,parlaibero.data.json → decada.n_corpus,2026-09-07
decada.n_corpus.1980s,7,int,C,parlaibero.data.json → decada.n_corpus,2026-09-07
decada.n_corpus.1990s,11,int,C,parlaibero.data.json → decada.n_corpus,2026-09-07
decada.n_corpus.2000s,15,int,C,parlaibero.data.json → decada.n_corpus,2026-09-07
decada.n_corpus.2010s,16,int,C,parlaibero.data.json → decada.n_corpus,2026-09-07
decada.n_corpus.2020s,16,int,C,parlaibero.data.json → decada.n_corpus,2026-09-07
sexo.exactitud,0.9898,pct,M,"monografía, apéndice D.4",2026-09-07
sexo.exactitud_h,0.9954000000000001,pct,M,"monografía, apéndice D.4",2026-09-07
