iso,pais,camara,decada,medida,valor,n,den,sexo_auditado,clave,medido_el
PT,Portugal,Assembleia da República,1970s,palabras,0.044009,417649,9490002,si,C,2026-09-07
PT,Portugal,Assembleia da República,1970s,turnos,0.03115,2660,85393,si,C,2026-09-07
PT,Portugal,Assembleia da República,1970s,oradoras,0.054545,18,330,si,C,2026-09-07
PT,Portugal,Assembleia da República,1980s,palabras,0.060157,2033981,33811479,si,C,2026-09-07
PT,Portugal,Assembleia da República,1980s,turnos,0.049581,15306,308704,si,C,2026-09-07
PT,Portugal,Assembleia da República,1980s,oradoras,0.083127,67,806,si,C,2026-09-07
PT,Portugal,Assembleia da República,1990s,palabras,0.100513,2688607,26748967,si,C,2026-09-07
PT,Portugal,Assembleia da República,1990s,turnos,0.073651,17238,234049,si,C,2026-09-07
PT,Portugal,Assembleia da República,1990s,oradoras,0.126935,82,646,si,C,2026-09-07
PT,Portugal,Assembleia da República,2000s,palabras,0.163658,4050670,24750897,si,C,2026-09-07
PT,Portugal,Assembleia da República,2000s,turnos,0.117966,31445,266559,si,C,2026-09-07
PT,Portugal,Assembleia da República,2000s,oradoras,0.255663,158,618,si,C,2026-09-07
PT,Portugal,Assembleia da República,2010s,palabras,0.324991,7901736,24313683,si,C,2026-09-07
PT,Portugal,Assembleia da República,2010s,turnos,0.282076,71841,254687,si,C,2026-09-07
PT,Portugal,Assembleia da República,2010s,oradoras,0.349282,219,627,si,C,2026-09-07
PT,Portugal,Assembleia da República,2020s,palabras,0.335033,4939918,14744562,si,C,2026-09-07
PT,Portugal,Assembleia da República,2020s,turnos,0.24016,43287,180242,si,C,2026-09-07
PT,Portugal,Assembleia da República,2020s,oradoras,0.377517,225,596,si,C,2026-09-07
ES,España,Congreso de los Diputados,1970s,palabras,0.024721,171994,6957442,si,C,2026-09-07
ES,España,Congreso de los Diputados,1970s,turnos,0.008533,311,36447,si,C,2026-09-07
ES,España,Congreso de los Diputados,1970s,oradoras,0.0575,23,400,si,C,2026-09-07
ES,España,Congreso de los Diputados,1980s,palabras,0.034534,870925,25219651,si,C,2026-09-07
ES,España,Congreso de los Diputados,1980s,turnos,0.015564,1582,101648,si,C,2026-09-07
ES,España,Congreso de los Diputados,1980s,oradoras,0.07438,54,726,si,C,2026-09-07
ES,España,Congreso de los Diputados,1990s,palabras,0.133994,3760199,28062547,si,C,2026-09-07
ES,España,Congreso de los Diputados,1990s,turnos,0.06621,7628,115209,si,C,2026-09-07
ES,España,Congreso de los Diputados,1990s,oradoras,0.206751,147,711,si,C,2026-09-07
ES,España,Congreso de los Diputados,2000s,palabras,0.249,7148025,28706980,si,C,2026-09-07
ES,España,Congreso de los Diputados,2000s,turnos,0.433362,48130,111062,si,C,2026-09-07
ES,España,Congreso de los Diputados,2000s,oradoras,0.377931,274,725,si,C,2026-09-07
ES,España,Congreso de los Diputados,2010s,palabras,0.305603,7805237,25540474,si,C,2026-09-07
ES,España,Congreso de los Diputados,2010s,turnos,0.392462,40320,102736,si,C,2026-09-07
ES,España,Congreso de los Diputados,2010s,oradoras,0.425223,381,896,si,C,2026-09-07
ES,España,Congreso de los Diputados,2020s,palabras,0.421318,8603279,20419933,si,C,2026-09-07
ES,España,Congreso de los Diputados,2020s,turnos,0.599528,44503,74230,si,C,2026-09-07
ES,España,Congreso de los Diputados,2020s,oradoras,0.439614,273,621,si,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,1970s,palabras,0.002285,3953,1729603,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,1970s,turnos,0.001821,30,16474,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,1970s,oradoras,0.030534,4,131,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,1980s,palabras,0.014234,292507,20549543,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,1980s,turnos,0.008097,2018,249221,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,1980s,oradoras,0.047377,28,591,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,1990s,palabras,0.045385,1071862,23616868,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,1990s,turnos,0.030299,9039,298323,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,1990s,oradoras,0.08871,88,992,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,2000s,palabras,0.117562,2740550,23311480,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,2000s,turnos,0.106327,21993,206843,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,2000s,oradoras,0.232271,226,973,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,2010s,palabras,0.331138,5112096,15437949,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,2010s,turnos,0.40266,24249,60222,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,2010s,oradoras,0.362319,175,483,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,2020s,palabras,0.403022,3950418,9801985,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,2020s,turnos,0.375931,17018,45269,no,C,2026-09-07
EC,Ecuador,Cámara Nacional de Representantes / Congreso Nacional / Asambleas Constituyentes / Asamblea Nacional,2020s,oradoras,0.389899,193,495,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,1980s,palabras,0.007361,185553,25205994,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,1980s,turnos,0.013384,973,72697,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,1980s,oradoras,0.041063,17,414,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,1990s,palabras,0.020965,5013,239111,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,1990s,turnos,0.017736,21,1184,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,1990s,oradoras,0.065934,6,91,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,2000s,palabras,0.161849,4931428,30469254,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,2000s,turnos,0.209762,12231,58309,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,2000s,oradoras,0.316535,201,635,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,2010s,palabras,0.249197,5782681,23205281,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,2010s,turnos,0.270037,14410,53363,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,2010s,oradoras,0.381148,279,732,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,2020s,palabras,0.287961,2727506,9471802,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,2020s,turnos,0.254084,11619,45729,no,C,2026-09-07
AR,Argentina,Cámara de Diputados de la Nación,2020s,oradoras,0.434409,202,465,no,C,2026-09-07
UY,Uruguay,Cámara de Representantes,1980s,palabras,0.002461,31342,12733594,si,C,2026-09-07
UY,Uruguay,Cámara de Representantes,1980s,turnos,0.003972,209,52614,si,C,2026-09-07
UY,Uruguay,Cámara de Representantes,1980s,oradoras,0.04712,9,191,si,C,2026-09-07
UY,Uruguay,Cámara de Representantes,1990s,palabras,0.0245,697967,28488302,si,C,2026-09-07
UY,Uruguay,Cámara de Representantes,1990s,turnos,0.033417,3699,110691,si,C,2026-09-07
UY,Uruguay,Cámara de Representantes,1990s,oradoras,0.106101,40,377,si,C,2026-09-07
UY,Uruguay,Cámara de Representantes,2000s,palabras,0.100331,3319670,33087027,si,C,2026-09-07
UY,Uruguay,Cámara de Representantes,2000s,turnos,0.113783,12563,110412,si,C,2026-09-07
UY,Uruguay,Cámara de Representantes,2000s,oradoras,0.158879,68,428,si,C,2026-09-07
